               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,             0.03112,           0.0085943,                   0,             0.91858,              0.9375,              0.9675,              0.6568,            0.023432,           0.0038192,                   0,             0.00577,             0.00577,             0.00577
                  96,            0.033027,           0.0091719,                   0,             0.93856,             0.95555,             0.98794,             0.65674,            0.023819,           0.0036403,                   0,            0.005725,            0.005725,            0.005725
                  97,            0.031446,           0.0087793,                   0,             0.93975,                   1,             0.99147,             0.65386,            0.023791,           0.0036383,                   0,             0.00568,             0.00568,             0.00568
                  98,            0.029479,           0.0095426,                   0,             0.88703,             0.98218,             0.98083,             0.66152,            0.023281,           0.0035007,                   0,            0.005635,            0.005635,            0.005635
                  99,            0.029362,           0.0091817,                   0,             0.98808,              0.9375,             0.98071,             0.64697,            0.024426,           0.0034387,                   0,             0.00559,             0.00559,             0.00559
                 100,            0.030572,            0.008326,                   0,             0.88166,             0.93162,             0.96452,             0.59701,            0.027276,           0.0035221,                   0,            0.005545,            0.005545,            0.005545
                 101,            0.029582,           0.0083196,                   0,             0.83679,             0.96211,             0.96855,             0.66617,             0.02328,           0.0034954,                   0,              0.0055,              0.0055,              0.0055
                 102,            0.029526,           0.0084631,                   0,             0.91382,               0.875,             0.96671,             0.67843,            0.023489,           0.0033692,                   0,            0.005455,            0.005455,            0.005455
                 103,            0.027716,           0.0090358,                   0,             0.88331,                   1,             0.97271,             0.67119,            0.024201,           0.0032905,                   0,             0.00541,             0.00541,             0.00541
                 104,            0.031427,           0.0079139,                   0,             0.87447,                   1,                0.97,              0.6485,            0.024839,           0.0034353,                   0,            0.005365,            0.005365,            0.005365
                 105,            0.031059,           0.0089292,                   0,             0.84594,              0.9375,              0.9698,             0.65351,            0.023701,           0.0036036,                   0,             0.00532,             0.00532,             0.00532
                 106,             0.02797,           0.0085234,                   0,                   1,             0.93268,             0.98833,             0.68753,            0.023798,           0.0033198,                   0,            0.005275,            0.005275,            0.005275
                 107,            0.028614,           0.0077441,                   0,              0.8874,                   1,             0.98167,             0.71346,            0.021903,           0.0033419,                   0,             0.00523,             0.00523,             0.00523
                 108,            0.028112,           0.0080825,                   0,             0.93044,                   1,             0.97676,             0.67056,            0.022577,           0.0032804,                   0,            0.005185,            0.005185,            0.005185
                 109,            0.030224,           0.0087854,                   0,             0.92124,                   1,             0.97676,             0.67515,            0.022652,           0.0033979,                   0,             0.00514,             0.00514,             0.00514
                 110,            0.028864,           0.0081156,                   0,              0.8318,                   1,              0.9436,             0.66695,            0.023729,           0.0036189,                   0,            0.005095,            0.005095,            0.005095
                 111,            0.029722,           0.0098686,                   0,             0.83337,                   1,             0.94125,             0.65977,            0.021854,            0.003663,                   0,             0.00505,             0.00505,             0.00505
                 112,            0.029183,           0.0092913,                   0,             0.84061,                   1,              0.9618,             0.65306,            0.023686,           0.0035461,                   0,            0.005005,            0.005005,            0.005005
                 113,            0.030232,           0.0095659,                   0,             0.88349,                   1,             0.95633,             0.69871,            0.022944,           0.0034767,                   0,             0.00496,             0.00496,             0.00496
                 114,            0.026659,           0.0086463,                   0,             0.88885,                   1,             0.97324,             0.69524,            0.024504,           0.0037711,                   0,            0.004915,            0.004915,            0.004915
                 115,            0.027447,           0.0085673,                   0,             0.81677,                   1,             0.96641,              0.7228,            0.021507,           0.0036356,                   0,             0.00487,             0.00487,             0.00487
                 116,            0.032168,           0.0078606,                   0,              0.8594,              0.9375,             0.96065,             0.68552,            0.021539,           0.0036269,                   0,            0.004825,            0.004825,            0.004825
                 117,            0.029614,           0.0070833,                   0,             0.78145,              0.9375,             0.93619,             0.65957,            0.023229,           0.0037064,                   0,             0.00478,             0.00478,             0.00478
                 118,            0.025397,           0.0076185,                   0,             0.87985,             0.91623,             0.95491,             0.65573,            0.023083,           0.0037918,                   0,            0.004735,            0.004735,            0.004735
                 119,            0.027359,           0.0078148,                   0,             0.87449,              0.9375,             0.97594,             0.68493,            0.021692,           0.0036176,                   0,             0.00469,             0.00469,             0.00469
                 120,            0.026667,           0.0085174,                   0,             0.83652,             0.96023,             0.97141,             0.68717,             0.02159,            0.003462,                   0,            0.004645,            0.004645,            0.004645
                 121,            0.028707,           0.0076471,                   0,              0.9935,              0.8125,              0.9655,             0.70137,            0.021665,           0.0034413,                   0,              0.0046,              0.0046,              0.0046
